id,topic,condition,rep,n_words,lgn,lgn_top5,j_novelty,j_feasibility,j_effectiveness,j_overall,nov_judge0,nov_judge1
Safety__small_experiment__4,Safety,small_experiment,4,179,0.12160420417785645,0.14380836486816406,5.5,5.5,5.0,5.0,3.0,8.0
Safety__unguided__0,Safety,unguided,0,216,0.2165798544883728,0.2258947491645813,5.5,7.0,5.5,5.5,3.0,8.0
Safety__unguided__1,Safety,unguided,1,204,0.16052663326263428,0.17142927646636963,5.5,6.5,5.0,5.0,4.0,7.0
Safety__unguided__2,Safety,unguided,2,231,0.14702612161636353,0.15877342224121094,5.5,5.0,5.0,5.0,3.0,8.0
Safety__unguided__3,Safety,unguided,3,235,0.16250020265579224,0.17235833406448364,5.5,6.5,4.5,5.0,3.0,8.0
Safety__unguided__4,Safety,unguided,4,221,0.16050386428833008,0.17069482803344727,5.5,7.5,5.5,5.5,3.0,8.0
Uncertainty__deduction__0,Uncertainty,deduction,0,231,0.1698838472366333,0.17634612321853638,6.0,7.5,4.5,5.5,4.0,8.0
Uncertainty__deduction__1,Uncertainty,deduction,1,219,0.18239253759384155,0.20631784200668335,6.0,6.5,5.5,5.5,4.0,8.0
Uncertainty__deduction__2,Uncertainty,deduction,2,239,0.16461485624313354,0.1847381591796875,7.0,7.5,6.0,6.0,6.0,8.0
Uncertainty__deduction__3,Uncertainty,deduction,3,230,0.17777478694915771,0.2014235258102417,6.0,7.0,5.0,5.5,4.0,8.0
Uncertainty__deduction__4,Uncertainty,deduction,4,214,0.21900463104248047,0.25089502334594727,7.0,6.5,5.5,6.0,6.0,8.0
Uncertainty__induction__0,Uncertainty,induction,0,208,0.19997906684875488,0.27693718671798706,6.0,7.5,5.0,5.5,4.0,8.0
Uncertainty__induction__1,Uncertainty,induction,1,222,0.14353764057159424,0.1514800786972046,6.0,7.5,6.0,6.0,4.0,8.0
Uncertainty__induction__2,Uncertainty,induction,2,218,0.12910228967666626,0.15280914306640625,6.0,7.5,6.0,6.0,4.0,8.0
Uncertainty__induction__3,Uncertainty,induction,3,219,0.135881245136261,0.1807987093925476,6.0,7.5,5.0,5.5,4.0,8.0
Uncertainty__induction__4,Uncertainty,induction,4,199,0.14524972438812256,0.1730283498764038,5.0,8.0,5.5,5.5,3.0,7.0
Uncertainty__literature_comparison__0,Uncertainty,literature_comparison,0,220,0.2064882516860962,0.2558460235595703,6.0,7.5,5.5,5.5,4.0,8.0
Uncertainty__literature_comparison__1,Uncertainty,literature_comparison,1,266,0.16718363761901855,0.17368203401565552,6.0,7.0,5.5,5.5,4.0,8.0
Uncertainty__literature_comparison__2,Uncertainty,literature_comparison,2,229,0.217576265335083,0.28208696842193604,6.0,7.0,5.0,5.5,4.0,8.0
Uncertainty__literature_comparison__3,Uncertainty,literature_comparison,3,244,0.2053372859954834,0.2917824983596802,7.0,7.5,5.5,6.0,6.0,8.0
Uncertainty__literature_comparison__4,Uncertainty,literature_comparison,4,237,0.15678167343139648,0.2001875638961792,4.0,8.0,3.0,4.0,4.0,
Uncertainty__outcome_imagination__0,Uncertainty,outcome_imagination,0,237,0.1830233335494995,0.19768399000167847,6.0,7.0,5.5,5.5,4.0,8.0
Uncertainty__outcome_imagination__1,Uncertainty,outcome_imagination,1,265,0.14110994338989258,0.17577755451202393,5.5,8.0,4.0,5.0,3.0,8.0
Uncertainty__outcome_imagination__2,Uncertainty,outcome_imagination,2,212,0.15332269668579102,0.20925533771514893,6.0,7.5,5.0,5.5,4.0,8.0
Uncertainty__outcome_imagination__3,Uncertainty,outcome_imagination,3,236,0.14430713653564453,0.16496306657791138,5.5,7.5,5.5,5.5,3.0,8.0
Uncertainty__outcome_imagination__4,Uncertainty,outcome_imagination,4,226,0.13767766952514648,0.17014914751052856,5.5,8.0,5.5,5.5,3.0,8.0
Uncertainty__proposal_writing__0,Uncertainty,proposal_writing,0,252,0.17108309268951416,0.1852542757987976,7.0,7.0,5.5,6.0,6.0,8.0
Uncertainty__proposal_writing__1,Uncertainty,proposal_writing,1,257,0.10766518115997314,0.12733983993530273,5.0,8.5,5.0,5.0,3.0,7.0
Uncertainty__proposal_writing__2,Uncertainty,proposal_writing,2,225,0.09469252824783325,0.13746613264083862,5.0,9.0,5.0,5.0,3.0,7.0
Uncertainty__proposal_writing__3,Uncertainty,proposal_writing,3,212,0.16869044303894043,0.18042737245559692,6.5,7.5,5.0,5.5,6.0,7.0
Uncertainty__proposal_writing__4,Uncertainty,proposal_writing,4,218,0.11919641494750977,0.17747563123703003,5.0,8.5,5.0,5.0,3.0,7.0
Uncertainty__small_experiment__0,Uncertainty,small_experiment,0,188,0.13437557220458984,0.1616857647895813,5.0,8.0,5.0,5.0,3.0,7.0
Uncertainty__small_experiment__1,Uncertainty,small_experiment,1,205,0.16068506240844727,0.17422306537628174,5.0,8.0,5.0,5.0,3.0,7.0
Uncertainty__small_experiment__2,Uncertainty,small_experiment,2,174,0.16046297550201416,0.22705352306365967,5.5,7.5,5.5,5.5,3.0,8.0
Uncertainty__small_experiment__3,Uncertainty,small_experiment,3,208,0.15277361869812012,0.19152146577835083,5.0,8.0,5.5,5.5,3.0,7.0
Uncertainty__small_experiment__4,Uncertainty,small_experiment,4,199,0.2020796537399292,0.21135568618774414,5.5,7.5,4.5,5.0,4.0,7.0
Uncertainty__unguided__0,Uncertainty,unguided,0,202,0.17041659355163574,0.1876910924911499,5.0,8.0,5.5,5.5,3.0,7.0
Uncertainty__unguided__1,Uncertainty,unguided,1,245,0.14986324310302734,0.16142672300338745,5.0,8.0,5.5,5.5,3.0,7.0
Uncertainty__unguided__2,Uncertainty,unguided,2,215,0.14609885215759277,0.15635377168655396,5.5,8.0,4.5,5.0,4.0,7.0
Uncertainty__unguided__3,Uncertainty,unguided,3,231,0.20522767305374146,0.2589735984802246,5.5,7.5,5.5,5.5,3.0,8.0
Uncertainty__unguided__4,Uncertainty,unguided,4,216,0.15644294023513794,0.16129720211029053,5.0,8.0,5.0,5.0,3.0,7.0
